Experiment Number,C3 press,C2 press,C1 press,C1 temp,C2 temp,C3 temp,Decarb Cannabinoids % w/w, Decarb Water Content % w/w,Spent1 Post-Ext. Weight g,Spent1 Cannabinoids % w/w,Spent1 Water Content % w/w,Spent2 Post-Ext. Weight g,Spent2 Cannabinoids % w/w,Spent2 Water Content % w/w,Crude C1 - Weight g,Crude C2 - Weight g,Crude C3 - Weight g,Crude C1 - Cannabinoids % w/w,Crude C2 - Cannabinoids % w/w,Crude C3 - Cannabinoids % w/w," C1 - Pictures Mark ""complete"" when taken"," C2 - Pictures Mark ""complete"" when taken"," C3 - Pictures Mark ""complete"" when taken",Waxes C1 - Dry Weight g,Waxes C2 - Dry Weight g,Waxes C3 - Dry Weight g,Refined C1 - Weight g,Refined C2 - Weight g,Refined C3 - Weight g, Refined C1 - Cannabinoids % w/w, Refined C2 - Cannabinoids % w/w, Refined C3 - Cannabinoids % w/w," C1 - Pictures Mark ""complete"" when taken"," C2 - Pictures Mark ""complete"" when taken"," C3 - Pictures Mark ""complete"" when taken",Terpenes Decarb % w/w,Terpenes Spent %w/w,Terpenes Crude C1 % w/w,Terpenes Crude C2 % w/w,Terpenes Crude C3 % w/w,Terpenes Refined C1 % w/w,Terpenes Refined C2 % w/w,Terpenes Refined C3 % w/w
11,150,2150,2744.25,41.84,40,40,15.34,0.92,1317,4.794,0.52,1265.5,4.593,0.46,72,75.5,206.5,77.768,72.471,85.157,complete,complete,complete,6.5,4.5,11.5,73.5,81.5,196.5,67.157,67.256,68.471,complete,complete,complete,,,,,,,,
12,150,2150,2744.25,47.96,32.09,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,150,1450,4765.5,50,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,150,1800,4259.75,41.84,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,150,1800,4259.75,47.96,32.09,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,150,1450,3755.75,58.16,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,150,1800,2240.25,58.16,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,150,1800,3250,56.12,32.09,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,150,1450,3755.75,52.04,47.91,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,150,1800,2240.25,52.04,47.91,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,150,1800,3250,43.88,47.91,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,150,1800,3250,50,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
