Database ID,WO Type,Date Opened,Input Bulk Lot ID(s),Input Bulk Lot Type(s),Production,Total WO Input Weight,Total Finalized Weight,Output Bulk Lot ID(s),Output Bulk Lot Type(s),Production,Output Weight per Bulk Lot,Total Output Weight,Date Closed
2009,Oil - Decarboxylation,1/30/2018 17:22,547,Oil,Oil Sativa Blend,9065,8133,547,Oil,Oil Sativa Blend,8133,8133,1/30/2018 17:23
2017,Oil - Decarboxylation,1/31/2018 17:30,550,Oil,Oil Indica Blend,8407,7404.5,550,Oil,Oil Indica Blend,7404.5,7404.5,1/31/2018 17:31
2007,Oil - Decarboxylation,1/30/2018 16:37,546,Oil,Oil Sativa Blend,8968.5,7690.5,546,Oil,Oil Sativa Blend,7690.5,7690.5,1/30/2018 16:38
2023,Oil - Decarboxylation,2/1/2018 9:12,545,Oil,Oil Sativa Blend,13052,11651.5,545,Oil,Oil Sativa Blend,11651.5,11651.5,2/1/2018 9:15
2036,Oil - Decarboxylation,2/2/2018 8:45,548,Oil,Oil Sativa Blend,10237.5,8847,548,Oil,Oil Sativa Blend,8847,8847,2/2/2018 8:47
2031,Oil - Decarboxylation,2/1/2018 13:25,543,Oil,Oil Sativa Blend,9695,8461.5,543,Oil,Oil Sativa Blend,8461.5,8461.5,2/1/2018 13:27
2040,Oil - Decarboxylation,2/2/2018 15:18,549,Oil,Oil Hybrid Blend,6167,5510,549,Oil,Oil Hybrid Blend,5510,5510,2/2/2018 15:19
2042,Oil - Decarboxylation,2/3/2018 14:24,544,Oil,Oil Sativa Blend,12232.5,10553.5,544,Oil,Oil Sativa Blend,10553.5,10553.5,2/3/2018 14:25
2052,Oil - Decarboxylation,2/5/2018 14:16,441,Oil,Oil Treasure Island (APH),9898.5,8489,441,Oil,Oil Treasure Island (APH),8489,8489,2/5/2018 14:19
2551,Oil - Decarboxylation,3/20/2018 16:13,542,Oil,Oil Sativa Blend,8263.5,7247.5,542,Oil,Oil Sativa Blend,7247.5,7247.5,3/20/2018 16:15
2565,Oil - Decarboxylation,3/22/2018 15:20,442,Oil,Oil Treasure Island (APH),9771.5,8571.5,442,Oil,Oil Treasure Island (APH),8571.5,8571.5,3/22/2018 15:22
2579,Oil - Decarboxylation,3/23/2018 13:38,614,Oil,Oil Alien Dawg (APH),4790.5,4137,614,Oil,Oil Alien Dawg (APH),4137,4137,3/23/2018 13:39
2586,Oil - Decarboxylation,3/23/2018 15:47,615,Oil,Oil Treasure Island (APH),4600,4113,615,Oil,Oil Treasure Island (APH),4113,4113,3/23/2018 15:48
2774,Oil - Decarboxylation,4/23/2018 15:01,640,Oil,Oil Atomical Haze,9794.5,8691,640,Oil,Oil Atomical Haze,8691,8691,4/23/2018 15:02
2780,Oil - Decarboxylation,4/23/2018 16:57,626,Oil,Oil Nebula II,9618,8449,626,Oil,Oil Nebula II,8449,8449,4/23/2018 16:58
2787,Oil - Decarboxylation,4/24/2018 12:46,642,Oil,Oil Atomical Haze,4724,4179.5,642,Oil,Oil Atomical Haze,4179.5,4179.5,4/24/2018 12:47
2790,Oil - Decarboxylation,4/25/2018 15:54,630,Oil,Oil Northern Lights,8996,8248.5,630,Oil,Oil Northern Lights,8248.5,8248.5,4/25/2018 15:55
2820,Oil - Decarboxylation,4/27/2018 16:01,624,Oil,Oil Nebula II,10390.5,9338,624,Oil,Oil Nebula II,9338,9338,4/27/2018 16:02
2807,Oil - Decarboxylation,4/26/2018 15:28,641,Oil,Oil Atomical Haze,9910,8873,641,Oil,Oil Atomical Haze,8873,8873,4/26/2018 15:34
