,,,,0= No,,,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Input Field,,,,,Autopopulate,,,,,,,,,,,,Extraction Efficiency,,,,,,,Spent % (as is),,,Output % (anhydrous),,,,Decarb % (as is),,,Input % (anhydrous),,
UniqueID,Extraction Date (yyyy/mm/dd),Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (°C),Program Used 0/1,Mass CO2 Used (lbs),CO2 Used (kg),kg CO2/min,Marble Diffuser (1/0),Notes,massCO2/g THC,massCO2/g CBD,massCO2/g CBN,THC,CBD,CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent Moisture,THC,CBD,CBN,THC,CBD,CBN,Decarb Moisture,THC,CBD,CBN,THC,CBD,CBN
24,18/01/2018,JOG,,347,7,90,1,5000,65,1,49,22.3,0.247,1,,,,,-,-,-,1255,1152,8.20%,0.0121,,,,,,,0.0121,0.174092742,0.000683871,0.007410282,0.174092742,0.000683871,0.007410282
25,23/01/2018,JOG,,348,1,180,1,5000,65,1,87,39.5,0.22,1,,,,,-,-,-,1316,1083.5,17.70%,0.039,,,,,,,0.039,0.197588884,0.000591234,0.003660605,0.197588884,0.000591234,0.003660605
26,23/01/2018,JOG,,348,2,180,2,5000,65,1,68,30.9,0.172,1,,,,,-,-,-,1170,971.5,17.00%,0.0187,,,,,,,0.0187,0.197588884,0.000591234,0.003660605,0.197588884,0.000591234,0.003660605
27,23/01/2018,JOG,,348,3,180,1,5000,65,1,94.5,43,0.239,1,,,,,-,-,-,1423.5,1145.5,19.50%,0.014,,,,,,,0.014,0.197588884,0.000591234,0.003660605,0.197588884,0.000591234,0.003660605
28,24/01/2018,JOG,,348,4,210,1,5000,65,1,60,27.3,0.13,1,,,,,-,-,-,1311,1050.5,19.90%,0.0174,,,,,,,0.0174,0.197588884,0.000591234,0.003660605,0.197588884,0.000591234,0.003660605
29,24/01/2018,JOG,,348,5,210,2,5000,65,1,56.5,25.7,0.122,1,,,,,-,-,-,1394.5,1101.5,21.00%,0.0133,,,,,,,0.0133,0.197588884,0.000591234,0.003660605,0.197588884,0.000591234,0.003660605
30,24/01/2018,JOG,,348,6,210,1,5000,65,1,133,60.5,0.288,1,,,,,-,-,-,1508,1138.5,24.50%,0.0126,,,,,,,0.0126,0.197588884,0.000591234,0.003660605,0.197588884,0.000591234,0.003660605
31,25/01/2018,JOG,,348,7,90,1,5000,65,1,19,8.6,0.096,1,,,,,-,-,-,305,254.5,16.60%,0.0134,,,,,,,0.0134,0.197588884,0.000591234,0.003660605,0.197588884,0.000591234,0.003660605
32,25/01/2018,JOG,,348,8,60,2,5000,65,1,9,4.1,0.068,1,re-extract JOG348-1,,,,-,-,-,1140.5,1050.5,7.90%,0.0111,,,,,,,0.0111,0.045504683,0,0.001549428,0.045504683,0,0.001549428
33,13/02/2018,TI,,441,1,180,1,5000,65,1,84.5,38.4,0.213,1,,,,,-,-,-,1305,1082.5,17.00%,0.0431,,,,,,,0.0431,0.006288869,0.13379925,0.000128026,0.006288869,0.13379925,0.000128026
34,13/02/2018,TI,,441,2,180,2,5000,65,1,64,29.1,0.162,1,,,,,-,-,-,1372,1152,16.00%,0.0269,,,,,,,0.0269,0.006288869,0.13379925,0.000128026,0.006288869,0.13379925,0.000128026
