Database ID,WO Name,WO Type,Location,Date Opened,User Opened,Input Bulk Lot ID(s),Input Bulk Lot Type(s),Production,Input Weight per Bulk Lot,Input Volume per Bulk Lot,Total WO Input Weight,Total WO Input Volume,Finalized,Total Finalized Weight,Total Finalized Volume,Output Bulk Lot ID(s),Output Bulk Lot Type(s),Production,Output Weight per Bulk Lot,Output Volume per Bulk Lot,Total Output Weight,Total Output Volume,Variance Weight %,Variance Volume %,Date Closed,User Closed
4423,Winterization HB-1016-W,Oil - Winterization/Filtration,,25/03/2019 10:03,Paul Schapurga,1016,Dried,Oil Hybrid Blend,1157,0,1157,0,TRUE,16510.5,0,1016,Dried,Oil Hybrid Blend,16510.5,0,16510.5,0,N/A,N/A,25/03/2019 10:04,Paul Schapurga
4422,Process pre-roll intake and milling,Process - Pre-Roll Intake & Milling,,22/03/2019 10:34,Heather Vanderpols,797,Dried,DP Sour Kush-15,236.5,0,236.5,0,TRUE,220.2,0,797,Dried,DP Sour Kush-15,220.2,0,220.2,0,6.89,N/A,22/03/2019 10:34,Heather Vanderpols
4421,process pre-roll intake and milling,Process - Pre-Roll Intake & Milling,,22/03/2019 8:38,Heather Vanderpols,794,Dried,DP Sour Kush-15,418,0,418,0,TRUE,416,0,794,Dried,DP Sour Kush-15,416,0,416,0,0.48,N/A,22/03/2019 8:39,Heather Vanderpols
4420,End of lot transfer to child lot for extraction,Process - Shake Transfer,,22/03/2019 8:30,Heather Vanderpols,794,Dried,DP Sour Kush-15,94.1,0,94.1,0,TRUE,94.1,0,794(1),Dried,DP Sour Kush-15,94.1,0,94.1,0,N/A,N/A,22/03/2019 8:32,Heather Vanderpols
4419,Extraction HB-1016-Cr,Oil - Extraction,,21/03/2019 16:10,Paul Schapurga,1016,Dried,Oil Hybrid Blend,9503.5,0,9503.5,0,TRUE,1157,0,1016,Dried,Oil Hybrid Blend,1157,0,1157,0,87.83,N/A,21/03/2019 16:11,Paul Schapurga
4418,Process Pre-roll intake and Milling,Process - Pre-Roll Intake & Milling,,21/03/2019 14:59,Heather Vanderpols,809,Dried,DI Delahaze-S-32-31 (Larry OG),179.4,0,179.4,0,TRUE,175.7,0,809,Dried,DI Delahaze-S-32-31 (Larry OG),175.7,0,175.7,0,2.06,N/A,21/03/2019 15:00,Heather Vanderpols
4417,Dilution N2-1007-1-DL,Oil - Dilution,,21/03/2019 9:47,Paul Schapurga,1007,Oil,Oil Nebula II,3265,3437,3265,3437,TRUE,18588,19566,1007-1,Oil,Oil Nebula II,18588,19566,18588,19566,N/A,N/A,21/03/2019 9:49,Paul Schapurga
4416,Process Pre-roll intake and milling,Process - Pre-Roll Intake & Milling,,21/03/2019 9:37,Heather Vanderpols,510,Dried,DI Atomical Haze-S-29-5 (Quantum Kush),1494.1,0,1494.1,0,TRUE,1445.3,0,510,Dried,DI Atomical Haze-S-29-5 (Quantum Kush),1445.3,0,1445.3,0,3.27,N/A,21/03/2019 9:41,Heather Vanderpols
4415,Encapsulation and Sealing,Oil - Encapsulation and Sealing,,21/03/2019 9:34,Tyler Mcgann,1037-1-2,Oil,Oil Black Widow,9842,10360,9842,10360,TRUE,9481,9980,1037-1-2,Oil,Oil Black Widow,9481,9980,9481,9980,3.67,3.67,21/03/2019 9:38,Tyler Mcgann
4414,TTC/TTB,Process - Transfer to Curing,Vault - Curing,21/03/2019 9:24,Brandon Gibbs,1106,Dried,DI Northern Lights-S-23-1,54709.8,0,54709.8,0,TRUE,54709.8,0,1106(2),Fresh,DI Northern Lights-S-23-1,9213.7,0,54709.8,0,N/A,N/A,21/03/2019 9:26,Brandon Gibbs
4414,TTC/TTB,Process - Transfer to Curing,Vault - Curing,21/03/2019 9:24,Brandon Gibbs,1106,Dried,DI Northern Lights-S-23-1,54709.8,0,54709.8,0,TRUE,54709.8,0,1106(1),Fresh,DI Northern Lights-S-23-1,5626.8,0,54709.8,0,N/A,N/A,21/03/2019 9:26,Brandon Gibbs
4414,TTC/TTB,Process - Transfer to Curing,Vault - Curing,21/03/2019 9:24,Brandon Gibbs,1106,Dried,DI Northern Lights-S-23-1,54709.8,0,54709.8,0,TRUE,54709.8,0,1106,Dried,DI Northern Lights-S-23-1,39869.3,0,54709.8,0,N/A,N/A,21/03/2019 9:26,Brandon Gibbs
4413,Fresh To Dry Conversion,Process - Transfer to Curing,Vault - Curing,21/03/2019 9:11,Brandon Gibbs,1106,Fresh,DI Northern Lights-S-23-1,297838.29,0,297838.29,0,TRUE,54709.8,0,1106,Dried,DI Northern Lights-S-23-1,54709.8,0,54709.8,0,81.63,N/A,21/03/2019 9:23,Brandon Gibbs
4412,LOT MERGE,Process - Lot Merge,,20/03/2019 10:29,Heather Vanderpols,1096(1),Dried,DI Delahaze-S-32-31 (Larry OG),11227.9,0,11227.9,0,TRUE,11227.9,0,1096(3),Dried,DI Delahaze-S-32-31 (Larry OG),11227.9,0,11227.9,0,N/A,N/A,20/03/2019 10:29,Heather Vanderpols
4411,LOT MERGE,Process - Lot Merge,,20/03/2019 10:27,Heather Vanderpols,1096(2),Dried,DI Delahaze-S-32-31 (Larry OG),12351.5,0,12351.5,0,TRUE,12351.5,0,1096(3),Dried,DI Delahaze-S-32-31 (Larry OG),12351.5,0,12351.5,0,N/A,N/A,20/03/2019 10:28,Heather Vanderpols
4410,TTB,Process - Transfer to Bulk,,20/03/2019 9:51,Heather Vanderpols,1096(2),Dried,DI Delahaze-S-32-31 (Larry OG),12351.5,0,12351.5,0,TRUE,12351.5,0,1096(2),Dried,DI Delahaze-S-32-31 (Larry OG),12351.5,0,12351.5,0,N/A,N/A,20/03/2019 9:52,Heather Vanderpols
4409,TTB,Process - Transfer to Bulk,,19/03/2019 16:05,Heather Vanderpols,1096(1),Dried,DI Delahaze-S-32-31 (Larry OG),11227.9,0,11227.9,0,TRUE,11227.9,0,1096(1),Dried,DI Delahaze-S-32-31 (Larry OG),11227.9,0,11227.9,0,N/A,N/A,19/03/2019 16:05,Heather Vanderpols
4408,TTB,Process - Transfer to Bulk,,19/03/2019 10:55,Heather Vanderpols,1079,Dried,DI Sour Kush-S-8-15 (Afternoon Delight),17446.6,0,17446.6,0,TRUE,17446.6,0,1079,Dried,DI Sour Kush-S-8-15 (Afternoon Delight),17446.6,0,17446.6,0,N/A,N/A,19/03/2019 10:56,Heather Vanderpols
4407,Showing Greg Haber The Steps Of Child Lot Creation (brandon gibbs),Process - Transfer to Curing,Vault - Curing,19/03/2019 8:10,Brandon Gibbs,1106,Fresh,DI Northern Lights-S-23-1,297863.6,0,297863.6,0,TRUE,297863.6,0,1106,Fresh,DI Northern Lights-S-23-1,297863.6,0,297863.6,0,N/A,N/A,19/03/2019 8:13,Brandon Gibbs
4406,Creation Of 1106(1) and 1106(2),Process - Transfer to Curing,Vault - Curing,19/03/2019 8:03,Brandon Gibbs,1106,Fresh,DI Northern Lights-S-23-1,297863.6,0,297863.6,0,TRUE,297863.6,0,1106,Fresh,DI Northern Lights-S-23-1,297863.6,0,297863.6,0,N/A,N/A,19/03/2019 8:05,Brandon Gibbs
4405,Extraction HB-1016-Cr,Oil - Extraction,,18/03/2019 18:10,Paul Schapurga,1016,Dried,Oil Hybrid Blend,15814.5,0,15814.5,0,TRUE,405,0,1016(1),Dried,Oil Hybrid Blend,405,0,405,0,97.44,N/A,18/03/2019 18:10,Paul Schapurga
4404,Destruction from reclaim TI-860-1-1787,End of Lot - Destroyed,,18/03/2019 16:44,Paul Schapurga,860-1,Oil,Oil Treasure Island (APH),256.5,270,256.5,270,TRUE,0,0,,,,,,0,0,N/A,N/A,18/03/2019 16:45,Paul Schapurga
4403,Pre-Dilution HB-1019-PD,Oil - PreDilution,,18/03/2019 16:33,Paul Schapurga,1019,Oil,Oil Hybrid Blend,1480.4,0,1480.4,0,TRUE,10421.5,10970,1019,Oil,Oil Hybrid Blend,10421.5,10970,10421.5,10970,N/A,N/A,18/03/2019 16:34,Paul Schapurga
4402,Rotary Evaporation HB-1019-R,Oil - Rotary Evaporation,,18/03/2019 16:28,Paul Schapurga,1019,Oil,Oil Hybrid Blend,25599,0,25599,0,TRUE,1480.4,0,1019,Oil,Oil Hybrid Blend,1480.4,0,1480.4,0,94.22,N/A,18/03/2019 16:32,Paul Schapurga
4401,Second Pass HB-1019-WII,Oil - Winterization/Filtration,,18/03/2019 16:26,Paul Schapurga,1019,Oil,Oil Hybrid Blend,1509,0,1509,0,TRUE,25599,0,1019,Oil,Oil Hybrid Blend,25599,0,25599,0,N/A,N/A,18/03/2019 16:27,Paul Schapurga
4400,Transfer for Capsules 1037-1-2,Lot Transfer - Partial,,18/03/2019 9:39,Marshall Linder,1037-1,Oil,Oil Black Widow,9888,10408,9888,10408,TRUE,9842,10360,1037-1-2,Oil,Oil Black Widow,9842,10360,9842,10360,0.47,0.46,18/03/2019 9:44,Marshall Linder
4399,Harvest Day #1 and #2 ,Process - Load Drying,Drying,16/03/2019 9:45,Brandon Gibbs,1106,Fresh,DI Northern Lights-S-23-1,297876.6,0,297876.6,0,TRUE,297876.6,0,1106,Fresh,DI Northern Lights-S-23-1,297876.6,0,297876.6,0,N/A,N/A,16/03/2019 9:47,Brandon Gibbs
4398,Extraction-HB-1019-CR,Oil - Extraction,,13/03/2019 16:09, Eric Heimpel,1019,Dried,Oil Hybrid Blend,9405.5,0,9405.5,0,TRUE,1509,0,1019,Dried,Oil Hybrid Blend,1509,0,1509,0,83.96,N/A,28/03/2019 10:28,Paul Schapurga
4397,Pre-Dilution SK-1014-PD,Oil - PreDilution,,13/03/2019 14:56,Paul Schapurga,1014,Oil,Oil Sativa Blend,31048,0,31048,0,TRUE,15450.5,16263.5,1014,Oil,Oil Sativa Blend,15450.5,16263.5,15450.5,16263.5,50.24,N/A,13/03/2019 15:00,Paul Schapurga
4396,Second Pass SK-1014-WII,Oil - Winterization/Filtration,,13/03/2019 14:40,Paul Schapurga,1014,Oil,Oil Sativa Blend,2108,0,2108,0,TRUE,31048,0,1014,Oil,Oil Sativa Blend,31048,0,31048,0,N/A,N/A,13/03/2019 14:53,Paul Schapurga
4395,Decarb R&D 1107-DC,Oil - Decarboxylation,,12/03/2019 16:29,Marie Boullion,1107,Oil,R&D Oil Research Blends,4107.5,0,4107.5,0,TRUE,3655,0,1107,Oil,R&D Oil Research Blends,3655,0,3655,0,11.02,N/A,12/03/2019 16:29,Marie Boullion
